Period,Variable,Shock,Value
1,L,eps_a_basket_2,-0.0013543791541906819
2,L,eps_a_basket_2,-0.0012189412387716137
3,L,eps_a_basket_2,-0.0010970471148944528
4,L,eps_a_basket_2,-0.000987342403405008
5,L,eps_a_basket_2,-0.0008886081630645073
6,L,eps_a_basket_2,-0.0007997473467580568
7,L,eps_a_basket_2,-0.0007197726120822515
8,L,eps_a_basket_2,-0.0006477953508740264
9,L,eps_a_basket_2,-0.000583015815786624
10,L,eps_a_basket_2,-0.0005247142342079617
11,L,eps_a_basket_2,-0.00047224281078716565
12,L,eps_a_basket_2,-0.0004250185297084492
13,L,eps_a_basket_2,-0.00038251667673760444
14,L,eps_a_basket_2,-0.0003442650090638441
15,L,eps_a_basket_2,-0.0003098385081574598
16,L,eps_a_basket_2,-0.00027885465734171387
17,L,eps_a_basket_2,-0.0002509691916075426
18,L,eps_a_basket_2,-0.00022587227244678836
19,L,eps_a_basket_2,-0.0002032850452021096
20,L,eps_a_basket_2,-0.0001829565406818987
21,L,eps_a_basket_2,-0.0001646608866137089
22,L,eps_a_basket_2,-0.00014819479795233803
23,L,eps_a_basket_2,-0.00013337531815710426
24,L,eps_a_basket_2,-0.00012003778634139388
25,L,eps_a_basket_2,-0.00010803400770725453
26,L,eps_a_basket_2,-9.72306069365291e-5
27,L,eps_a_basket_2,-8.750754624287621e-5
28,L,eps_a_basket_2,-7.875679161858862e-5
29,L,eps_a_basket_2,-7.088111245672977e-5
30,L,eps_a_basket_2,-6.379300121105681e-5
31,L,eps_a_basket_2,-5.741370108995115e-5
32,L,eps_a_basket_2,-5.167233098095606e-5
33,L,eps_a_basket_2,-4.6505097882860464e-5
34,L,eps_a_basket_2,-4.185458809457443e-5
35,L,eps_a_basket_2,-3.7669129285116997e-5
36,L,eps_a_basket_2,-3.390221635660531e-5
37,L,eps_a_basket_2,-3.0511994720944787e-5
38,L,eps_a_basket_2,-2.7460795248850317e-5
39,L,eps_a_basket_2,-2.471471572396529e-5
40,L,eps_a_basket_2,-2.2243244151568768e-5
41,L,eps_a_basket_2,-2.00189197364119e-5
42,L,eps_a_basket_2,-1.8017027762770717e-5
43,L,eps_a_basket_2,-1.621532498649365e-5
44,L,eps_a_basket_2,-1.459379248784429e-5
45,L,eps_a_basket_2,-1.3134413239059865e-5
46,L,eps_a_basket_2,-1.1820971915153883e-5
47,L,eps_a_basket_2,-1.06388747236385e-5
48,L,eps_a_basket_2,-9.574987251274652e-6
49,L,eps_a_basket_2,-8.617488526147189e-6
50,L,eps_a_basket_2,-7.755739673532472e-6
51,L,eps_a_basket_2,-6.9801657061792275e-6
52,L,eps_a_basket_2,-6.282149135561307e-6
53,L,eps_a_basket_2,-5.653934222005178e-6
54,L,eps_a_basket_2,-5.088540799804662e-6
55,L,eps_a_basket_2,-4.579686719824197e-6
56,L,eps_a_basket_2,-4.121718047841779e-6
57,L,eps_a_basket_2,-3.709546243057602e-6
58,L,eps_a_basket_2,-3.338591618751843e-6
59,L,eps_a_basket_2,-3.0047324568766594e-6
60,L,eps_a_basket_2,-2.7042592111889943e-6
61,L,eps_a_basket_2,-2.4338332900700955e-6
62,L,eps_a_basket_2,-2.1904499610630867e-6
63,L,eps_a_basket_2,-1.9714049649567784e-6
64,L,eps_a_basket_2,-1.7742644684611008e-6
65,L,eps_a_basket_2,-1.5968380216149913e-6
66,L,eps_a_basket_2,-1.4371542194534926e-6
67,L,eps_a_basket_2,-1.2934387975081437e-6
68,L,eps_a_basket_2,-1.1640949177573297e-6
69,L,eps_a_basket_2,-1.047685425981597e-6
70,L,eps_a_basket_2,-9.429168833834376e-7
71,L,eps_a_basket_2,-8.486251950450941e-7
72,L,eps_a_basket_2,-7.637626755405849e-7
73,L,eps_a_basket_2,-6.873864079865267e-7
74,L,eps_a_basket_2,-6.186477671878742e-7
75,L,eps_a_basket_2,-5.567829904690869e-7
76,L,eps_a_basket_2,-5.011046914221784e-7
77,L,eps_a_basket_2,-4.5099422227996075e-7
78,L,eps_a_basket_2,-4.058948000519648e-7
79,L,eps_a_basket_2,-3.6530532004676844e-7
80,L,eps_a_basket_2,-3.2877478804209166e-7
81,L,eps_a_basket_2,-2.9589730923788256e-7
82,L,eps_a_basket_2,-2.663075783140944e-7
83,L,eps_a_basket_2,-2.3967682048268505e-7
84,L,eps_a_basket_2,-2.157091384344166e-7
85,L,eps_a_basket_2,-1.94138224590975e-7
86,L,eps_a_basket_2,-1.7472440213187758e-7
87,L,eps_a_basket_2,-1.5725196191868985e-7
88,L,eps_a_basket_2,-1.415267657268209e-7
89,L,eps_a_basket_2,-1.2737408915413887e-7
90,L,eps_a_basket_2,-1.14636680238725e-7
91,L,eps_a_basket_2,-1.0317301221485254e-7
92,L,eps_a_basket_2,-9.285571099336733e-8
93,L,eps_a_basket_2,-8.35701398940306e-8
94,L,eps_a_basket_2,-7.521312590462756e-8
95,L,eps_a_basket_2,-6.769181331416484e-8
96,L,eps_a_basket_2,-6.092263198274837e-8
97,L,eps_a_basket_2,-5.4830368784473556e-8
98,L,eps_a_basket_2,-4.934733190602622e-8
99,L,eps_a_basket_2,-4.44125987154236e-8
100,L,eps_a_basket_2,-3.997133884388126e-8
1,c,eps_a_basket_2,3.8789180985561804e-19
2,c,eps_a_basket_2,3.723761374613935e-19
3,c,eps_a_basket_2,3.3513852371525426e-19
4,c,eps_a_basket_2,3.016246713437289e-19
5,c,eps_a_basket_2,2.714622042093561e-19
6,c,eps_a_basket_2,2.4431598378842057e-19
7,c,eps_a_basket_2,2.1988438540957855e-19
8,c,eps_a_basket_2,1.9789594686862076e-19
9,c,eps_a_basket_2,1.7810635218175873e-19
10,c,eps_a_basket_2,1.602957169635829e-19
11,c,eps_a_basket_2,1.4426614526722465e-19
12,c,eps_a_basket_2,1.2983953074050222e-19
13,c,eps_a_basket_2,1.1685557766645204e-19
14,c,eps_a_basket_2,1.0517001989980685e-19
15,c,eps_a_basket_2,9.465301790982619e-20
16,c,eps_a_basket_2,8.51877161188436e-20
17,c,eps_a_basket_2,7.666894450695925e-20
18,c,eps_a_basket_2,6.900205005626335e-20
19,c,eps_a_basket_2,6.210184505063704e-20
20,c,eps_a_basket_2,5.589166054557335e-20
21,c,eps_a_basket_2,5.030249449101603e-20
22,c,eps_a_basket_2,4.5272245041914436e-20
23,c,eps_a_basket_2,4.0745020537723004e-20
24,c,eps_a_basket_2,3.667051848395071e-20
25,c,eps_a_basket_2,3.300346663555565e-20
26,c,eps_a_basket_2,2.970311997200009e-20
27,c,eps_a_basket_2,2.673280797480009e-20
28,c,eps_a_basket_2,2.405952717732009e-20
29,c,eps_a_basket_2,2.1653574459588087e-20
30,c,eps_a_basket_2,1.9488217013629284e-20
31,c,eps_a_basket_2,1.7539395312266358e-20
32,c,eps_a_basket_2,1.5785455781039728e-20
33,c,eps_a_basket_2,1.420691020293576e-20
34,c,eps_a_basket_2,1.2786219182642186e-20
35,c,eps_a_basket_2,1.1507597264377972e-20
36,c,eps_a_basket_2,1.0356837537940177e-20
37,c,eps_a_basket_2,9.321153784146163e-21
38,c,eps_a_basket_2,8.389038405731548e-21
39,c,eps_a_basket_2,7.550134565158396e-21
40,c,eps_a_basket_2,6.795121108642557e-21
41,c,eps_a_basket_2,6.115608997778303e-21
42,c,eps_a_basket_2,5.504048098000475e-21
43,c,eps_a_basket_2,4.953643288200429e-21
44,c,eps_a_basket_2,4.4582789593803876e-21
45,c,eps_a_basket_2,4.01245106344235e-21
46,c,eps_a_basket_2,3.611205957098116e-21
47,c,eps_a_basket_2,3.2500853613883056e-21
48,c,eps_a_basket_2,2.9250768252494763e-21
49,c,eps_a_basket_2,2.6325691427245288e-21
50,c,eps_a_basket_2,2.369312228452077e-21
51,c,eps_a_basket_2,2.13238100560687e-21
52,c,eps_a_basket_2,1.9191429050461834e-21
53,c,eps_a_basket_2,1.7272286145415654e-21
54,c,eps_a_basket_2,1.5545057530874096e-21
55,c,eps_a_basket_2,1.399055177778669e-21
56,c,eps_a_basket_2,1.2591496600008025e-21
57,c,eps_a_basket_2,1.1332346940007227e-21
58,c,eps_a_basket_2,1.0199112246006504e-21
59,c,eps_a_basket_2,9.179201021405857e-22
60,c,eps_a_basket_2,8.261280919265273e-22
61,c,eps_a_basket_2,7.435152827338748e-22
62,c,eps_a_basket_2,6.691637544604876e-22
63,c,eps_a_basket_2,6.022473790144388e-22
64,c,eps_a_basket_2,5.420226411129951e-22
65,c,eps_a_basket_2,4.878203770016957e-22
66,c,eps_a_basket_2,4.390383393015263e-22
67,c,eps_a_basket_2,3.951345053713738e-22
68,c,eps_a_basket_2,3.5562105483423647e-22
69,c,eps_a_basket_2,3.200589493508129e-22
70,c,eps_a_basket_2,2.8805305441573167e-22
71,c,eps_a_basket_2,2.592477489741586e-22
72,c,eps_a_basket_2,2.3332297407674283e-22
73,c,eps_a_basket_2,2.099906766690686e-22
74,c,eps_a_basket_2,1.8899160900216178e-22
75,c,eps_a_basket_2,1.7009244810194567e-22
76,c,eps_a_basket_2,1.5308320329175113e-22
77,c,eps_a_basket_2,1.3777488296257607e-22
78,c,eps_a_basket_2,1.239973946663185e-22
79,c,eps_a_basket_2,1.1159765519968668e-22
80,c,eps_a_basket_2,1.0043788967971804e-22
81,c,eps_a_basket_2,9.039410071174624e-23
82,c,eps_a_basket_2,8.135469064057165e-23
83,c,eps_a_basket_2,7.32192215765145e-23
84,c,eps_a_basket_2,6.589729941886308e-23
85,c,eps_a_basket_2,5.930756947697678e-23
86,c,eps_a_basket_2,5.337681252927912e-23
87,c,eps_a_basket_2,4.803913127635122e-23
88,c,eps_a_basket_2,4.323521814871612e-23
89,c,eps_a_basket_2,3.891169633384452e-23
90,c,eps_a_basket_2,3.5020526700460076e-23
91,c,eps_a_basket_2,3.1518474030414074e-23
92,c,eps_a_basket_2,2.8366626627372676e-23
93,c,eps_a_basket_2,2.5529963964635412e-23
94,c,eps_a_basket_2,2.297696756817188e-23
95,c,eps_a_basket_2,2.0679270811354697e-23
96,c,eps_a_basket_2,1.8611343730219234e-23
97,c,eps_a_basket_2,1.6750209357197316e-23
98,c,eps_a_basket_2,1.507518842147759e-23
99,c,eps_a_basket_2,1.3567669579329833e-23
100,c,eps_a_basket_2,1.2210902621396854e-23
1,omega_G_1,eps_a_basket_2,2.2186776256159922e-20
2,omega_G_1,eps_a_basket_2,1.688416104565402e-20
3,omega_G_1,eps_a_basket_2,1.2420201114687687e-20
4,omega_G_1,eps_a_basket_2,8.680191559458069e-21
5,omega_G_1,eps_a_basket_2,5.563981904127485e-21
6,omega_G_1,eps_a_basket_2,2.984212264268427e-21
7,omega_G_1,eps_a_basket_2,8.647567333398972e-22
8,omega_G_1,eps_a_basket_2,-8.60649814045619e-22
9,omega_G_1,eps_a_basket_2,-2.2496226192874383e-21
10,omega_G_1,eps_a_basket_2,-3.352194365340444e-21
11,omega_G_1,eps_a_basket_2,-4.2117555359899806e-21
12,omega_G_1,eps_a_basket_2,-4.865882528856211e-21
13,omega_G_1,eps_a_basket_2,-5.347066567789299e-21
14,omega_G_1,eps_a_basket_2,-5.683354973647211e-21
15,omega_G_1,eps_a_basket_2,-5.8989150326556536e-21
16,omega_G_1,eps_a_basket_2,-6.0145295301259385e-21
17,omega_G_1,eps_a_basket_2,-6.048031977775612e-21
18,omega_G_1,eps_a_basket_2,-6.014688640594095e-21
19,omega_G_1,eps_a_basket_2,-5.927533651071127e-21
20,omega_G_1,eps_a_basket_2,-5.797662773046814e-21
21,omega_G_1,eps_a_basket_2,-5.634490734116655e-21
22,omega_G_1,eps_a_basket_2,-5.4459764752420616e-21
23,omega_G_1,eps_a_basket_2,-5.238820160801223e-21
24,omega_G_1,eps_a_basket_2,-5.018635344496132e-21
25,omega_G_1,eps_a_basket_2,-4.790099289844049e-21
26,omega_G_1,eps_a_basket_2,-4.557084092677422e-21
27,omega_G_1,eps_a_basket_2,-4.322770942045681e-21
28,omega_G_1,eps_a_basket_2,-4.0897495806135144e-21
29,omega_G_1,eps_a_basket_2,-3.8601047820473255e-21
30,omega_G_1,eps_a_basket_2,-3.6354914473882406e-21
31,omega_G_1,eps_a_basket_2,-3.4171997318404994e-21
32,omega_G_1,eps_a_basket_2,-3.2062114449284246e-21
33,omega_G_1,eps_a_basket_2,-3.0032488180803605e-21
34,omega_G_1,eps_a_basket_2,-2.8088166021526253e-21
35,omega_G_1,eps_a_basket_2,-2.6232383412296346e-21
36,omega_G_1,eps_a_basket_2,-2.446687566469716e-21
37,omega_G_1,eps_a_basket_2,-2.2792145632494844e-21
38,omega_G_1,eps_a_basket_2,-2.1207692850086027e-21
39,omega_G_1,eps_a_basket_2,-1.9712209167834025e-21
40,omega_G_1,eps_a_basket_2,-1.8303745293531573e-21
41,omega_G_1,eps_a_basket_2,-1.697985210241127e-21
42,omega_G_1,eps_a_basket_2,-1.5737700096579716e-21
43,omega_G_1,eps_a_basket_2,-1.4574179970890364e-21
44,omega_G_1,eps_a_basket_2,-1.3485986869373085e-21
45,omega_G_1,eps_a_basket_2,-1.246969058845036e-21
46,omega_G_1,eps_a_basket_2,-1.152179369501845e-21
47,omega_G_1,eps_a_basket_2,-1.063877927438842e-21
48,omega_G_1,eps_a_basket_2,-9.817149800934211e-22
49,omega_G_1,eps_a_basket_2,-9.053458429426964e-22
50,omega_G_1,eps_a_basket_2,-8.344333834211824e-22
51,omega_G_1,eps_a_basket_2,-7.686499573745443e-22
52,omega_G_1,eps_a_basket_2,-7.076788827030221e-22
53,omega_G_1,eps_a_basket_2,-6.512155233920589e-22
54,omega_G_1,eps_a_basket_2,-5.989680471162583e-22
55,omega_G_1,eps_a_basket_2,-5.506579108616973e-22
56,omega_G_1,eps_a_basket_2,-5.060201213868859e-22
57,omega_G_1,eps_a_basket_2,-4.648033106984199e-22
58,omega_G_1,eps_a_basket_2,-4.267696609337782e-22
59,omega_G_1,eps_a_basket_2,-3.9169470801508076e-22
60,omega_G_1,eps_a_basket_2,-3.5936704907078496e-22
61,omega_G_1,eps_a_basket_2,-3.295879748351976e-22
62,omega_G_1,eps_a_basket_2,-3.0217104495601996e-22
63,omega_G_1,eps_a_basket_2,-2.7694162130432583e-22
64,omega_G_1,eps_a_basket_2,-2.537363719334103e-22
65,omega_G_1,eps_a_basket_2,-2.324027562236347e-22
66,omega_G_1,eps_a_basket_2,-2.127984999364801e-22
67,omega_G_1,eps_a_basket_2,-1.947910673445201e-22
68,omega_G_1,eps_a_basket_2,-1.7825713627158733e-22
69,omega_G_1,eps_a_basket_2,-1.630820807397959e-22
70,omega_G_1,eps_a_basket_2,-1.4915946495164691e-22
71,omega_G_1,eps_a_basket_2,-1.3639055151372977e-22
72,omega_G_1,eps_a_basket_2,-1.246838261138796e-22
73,omega_G_1,eps_a_basket_2,-1.1395454027886218e-22
74,omega_G_1,eps_a_basket_2,-1.0412427334970943e-22
75,omega_G_1,eps_a_basket_2,-9.512051440359863e-23
76,omega_G_1,eps_a_basket_2,-8.68762645132129e-23
77,omega_G_1,eps_a_basket_2,-7.932965945686834e-23
78,omega_G_1,eps_a_basket_2,-7.242361276666057e-23
79,omega_G_1,eps_a_basket_2,-6.610547881992568e-23
80,omega_G_1,eps_a_basket_2,-6.032673553487116e-23
81,omega_G_1,eps_a_basket_2,-5.504268611862828e-23
82,omega_G_1,eps_a_basket_2,-5.0212179230285277e-23
83,omega_G_1,eps_a_basket_2,-4.5797346858424594e-23
84,omega_G_1,eps_a_basket_2,-4.1763359168633194e-23
85,omega_G_1,eps_a_basket_2,-3.807819554821583e-23
86,omega_G_1,eps_a_basket_2,-3.471243106019562e-23
87,omega_G_1,eps_a_basket_2,-3.1639037514297286e-23
88,omega_G_1,eps_a_basket_2,-2.8833198366976673e-23
89,omega_G_1,eps_a_basket_2,-2.6272136673977205e-23
90,omega_G_1,eps_a_basket_2,-2.3934955335907865e-23
91,omega_G_1,eps_a_basket_2,-2.1802488898712625e-23
92,omega_G_1,eps_a_basket_2,-1.9857166195597355e-23
93,omega_G_1,eps_a_basket_2,-1.8082883144118013e-23
94,omega_G_1,eps_a_basket_2,-1.6464885040978568e-23
95,omega_G_1,eps_a_basket_2,-1.498965772702583e-23
96,omega_G_1,eps_a_basket_2,-1.364482702545386e-23
97,omega_G_1,eps_a_basket_2,-1.2419065886926024e-23
98,omega_G_1,eps_a_basket_2,-1.1302008705849217e-23
