Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,0.00012697813512544334,0.0001269781351254443,0.0003552015028362724,0.0036336125929620367,0.003633612592962034,8.94664000998651e-5,8.946640009986455e-5,-0.0006007750565220747,-0.0002645000500289257,-0.0002645000500289266,0.0003385947885476689,-0.0013543791541906754
2,0.0001142803216128982,0.00011428032161289952,0.00031968135255264505,0.003270251333665835,0.0032702513336658303,8.051976008987997e-5,8.051976008987908e-5,-0.0005406975508698677,-0.00023805004502603334,-0.00023805004502603467,0.00030473530969290206,-0.001218941238771609
3,0.00010285228945160831,0.00010285228945160998,0.00028771321729738044,0.0029432262002992526,0.002943226200299247,7.2467784080892e-5,7.246778408089134e-5,-0.00048662779578288094,-0.00021424504052342983,-0.00021424504052343157,0.0002742617787236119,-0.0010970471148944482
4,9.256706050644744e-5,9.256706050644933e-5,0.0002589418955676424,0.002648903580269328,0.0026489035802693224,6.522100567280282e-5,6.522100567280236e-5,-0.0004379650162045928,-0.00019282053647108675,-0.00019282053647108876,0.0002468356008512507,-0.0009873424034050034
5,8.331035445580264e-5,8.331035445580473e-5,0.00023304770601087805,0.0023840132222423963,0.00238401322224239,5.869890510552256e-5,5.8698905105522255e-5,-0.00039416851458413347,-0.00017353848282397792,-0.00017353848282398014,0.00022215204076612567,-0.0008886081630645035
6,7.497931901022232e-5,7.497931901022456e-5,0.00020974293540979017,0.0021456119000181576,0.0021456119000181507,5.282901459497032e-5,5.2829014594970156e-5,-0.0003547516631257201,-0.00015618463454158003,-0.00015618463454158239,0.00019993683668951311,-0.0007997473467580532
7,6.748138710920004e-5,6.748138710920236e-5,0.00018876864186881108,0.0019310507100163425,0.0019310507100163353,4.75461131354733e-5,4.7546113135473255e-5,-0.00031927649681314803,-0.0001405661710874219,-0.00014056617108742437,0.0001799431530205618,-0.000719772612082248
8,6.073324839828001e-5,6.073324839828238e-5,0.00016989177768192998,0.0017379456390147088,0.0017379456390147017,4.2791501821926e-5,4.2791501821926025e-5,-0.0002873488471318332,-0.00012650955397867963,-0.00012650955397868215,0.00016194883771850562,-0.0006477953508740233
9,5.465992355845198e-5,5.4659923558454356e-5,0.00015290259991373697,0.0015641510751132385,0.0015641510751132316,3.851235163973342e-5,3.851235163973352e-5,-0.00025861396241864986,-0.00011385859858081156,-0.00011385859858081413,0.00014575395394665508,-0.0005830158157866211
10,4.919393120260674e-5,4.9193931202609124e-5,0.0001376123399223632,0.0014077359676019153,0.0014077359676019083,3.466111647576008e-5,3.466111647576025e-5,-0.00023275256617678487,-0.00010247273872273033,-0.00010247273872273286,0.00013117855855198957,-0.000524714234207959
11,4.4274538082346044e-5,4.4274538082348375e-5,0.00012385110593012686,0.0012669623708417242,0.0012669623708417173,3.1195004828184085e-5,3.1195004828184295e-5,-0.00020947730955910636,-9.222546485045723e-5,-9.222546485045974e-5,0.00011806070269679063,-0.0004722428107871632
12,3.984708427411141e-5,3.9847084274113695e-5,0.00011146599533711411,0.0011402661337575521,0.0011402661337575456,2.8075504345365684e-5,2.807550434536594e-5,-0.0001885295786031957,-8.300291836541144e-5,-8.300291836541388e-5,0.00010625463242711156,-0.00042501852970844696
13,3.586237584670024e-5,3.586237584670248e-5,0.00010031939580340267,0.0010262395203817973,0.0010262395203817908,2.5267953910829125e-5,2.5267953910829406e-5,-0.0001696766207428761,-7.470262652887024e-5,-7.470262652887262e-5,9.56291691844004e-5,-0.0003825166767376024
14,3.2276138262030196e-5,3.227613826203236e-5,9.028745622306239e-5,0.0009236155683436179,0.0009236155683436118,2.2741158519746217e-5,2.274115851974652e-5,-0.00015270895866858849,-6.723236387598316e-5,-6.723236387598548e-5,8.606625226596034e-5,-0.0003442650090638422
15,2.904852443582717e-5,2.9048524435829233e-5,8.125871060075613e-5,0.0008312540115092565,0.0008312540115092507,2.04670426677716e-5,2.046704266777192e-5,-0.00013743806280172962,-6.0509127488384805e-5,-6.050912748838702e-5,7.745962703936431e-5,-0.00030983850815745806
16,2.6143671992244433e-5,2.6143671992246418e-5,7.31328395406805e-5,0.0007481286103583311,0.0007481286103583255,1.842033840099445e-5,1.8420338400994773e-5,-0.00012369425652155664,-5.4458214739546274e-5,-5.4458214739548415e-5,6.971366433542788e-5,-0.0002788546573417123
17,2.3529304793019973e-5,2.3529304793021874e-5,6.581955558661242e-5,0.0006733157493224982,0.0006733157493224929,1.6578304560895007e-5,1.6578304560895332e-5,-0.00011132483086940096,-4.901239326559161e-5,-4.901239326559366e-5,6.274229790188509e-5,-0.00025096919160754106
18,2.1176374313717963e-5,2.1176374313719765e-5,5.9237600027951156e-5,0.0006059841743902487,0.0006059841743902436,1.4920474104805514e-5,1.4920474104805836e-5,-0.00010019234778246086,-4.4111153939032404e-5,-4.4111153939034356e-5,5.6468068111696596e-5,-0.00022587227244678698
19,1.9058736882346157e-5,1.9058736882347868e-5,5.3313840025156025e-5,0.000545385756951224,0.0005453857569512193,1.3428426694324968e-5,1.3428426694325285e-5,-9.017311300421476e-5,-3.970003854512915e-5,-3.970003854513099e-5,5.082126130052693e-5,-0.00020328504520210835
20,1.715286319411153e-5,1.715286319411315e-5,4.798245602264042e-5,0.0004908471812561018,0.0004908471812560972,1.2085584024892475e-5,1.2085584024892783e-5,-8.115580170379327e-5,-3.57300346906162e-5,-3.5730034690617944e-5,4.5739135170474244e-5,-0.00018295654068189754
