Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,0.00029186825116365306,0.0002918682511636566,0.0002438713722849128,0.00029702966901653036,0.0002970296690165312,0.00013903174766548792,0.00013903174766548914,-0.00203242471960421,0.0005778965186543695,0.000577896518654371,0.0003996787172058097,-0.0015987148688232401
2,0.00026268142604728986,0.00026268142604729116,0.0002194842350564244,0.0002673267021148785,0.0002673267021148777,0.00012512857289894363,0.00012512857289894187,-0.001829182247643789,0.0005201068667889324,0.0005201068667889341,0.0003597108454852289,-0.0014388433819409168
3,0.00023641328344256083,0.00023641328344256221,0.0001975358115507821,0.00024059403190339083,0.00024059403190339,0.00011261571560904926,0.0001126157156090477,-0.00164626402287941,0.00046809618011003917,0.00046809618011004085,0.00032373976093670603,-0.0012949590437468254
4,0.00021277195509830475,0.00021277195509830608,0.00017778223039570406,0.00021653462871305191,0.00021653462871305105,0.00010135414404814436,0.00010135414404814297,-0.001481637620591469,0.0004212865620990353,0.0004212865620990369,0.0002913657848430354,-0.001165463139372143
5,0.00019149475958847427,0.00019149475958847557,0.0001600040073561338,0.00019488116584174685,0.00019488116584174596,9.121872964332993e-5,9.121872964332869e-5,-0.0013334738585323218,0.0003791579058891317,0.00037915790588913327,0.00026222920635873186,-0.0010489168254349287
6,0.0001723452836296268,0.0001723452836296281,0.0001440036066205205,0.0001753930492575723,0.00017539304925757142,8.209685667899697e-5,8.209685667899583e-5,-0.0012001264726790896,0.00034124211530021855,0.00034124211530022007,0.00023600628572285873,-0.000944025142891436
7,0.00015511075526666415,0.0001551107552666654,0.00012960324595846854,0.00015785374433181519,0.00015785374433181426,7.388717101109728e-5,7.388717101109627e-5,-0.0010801138254111803,0.0003071179037701967,0.00030711790377019815,0.00021240565715057287,-0.0008496226286022927
8,0.00013959967973999773,0.00013959967973999895,0.00011664292136262179,0.00014206836989863377,0.00014206836989863288,6.649845390998756e-5,6.649845390998665e-5,-0.0009721024428700623,0.000276406113393177,0.00027640611339317846,0.0001911650914355156,-0.0007646603657420635
9,0.00012563971176599796,0.00012563971176599912,0.00010497862922635969,0.0001278615329087705,0.0001278615329087696,5.984860851898883e-5,5.984860851898801e-5,-0.000874892198583056,0.00024876550205385934,0.00024876550205386064,0.00017204858229196405,-0.0006881943291678573
10,0.00011307574058939818,0.00011307574058939929,9.44807663037238e-5,0.00011507537961789351,0.00011507537961789268,5.386374766708995e-5,5.386374766708922e-5,-0.0007874029787247503,0.00022388895184847335,0.00022388895184847465,0.00015484372406276764,-0.0006193748962510716
11,0.00010176816653045837,0.00010176816653045942,8.503268967335149e-5,0.00010356784165610423,0.00010356784165610343,4.847737290038096e-5,4.847737290038031e-5,-0.0007086626808522752,0.000201500056663626,0.00020150005666362726,0.00013935935165649088,-0.0005574374066259646
12,9.159134987741251e-5,9.159134987741352e-5,7.65294207060164e-5,9.321105749049389e-5,9.321105749049309e-5,4.362963561034287e-5,4.362963561034229e-5,-0.0006377964127670476,0.0001813500509972634,0.00018135005099726456,0.00012542341649084178,-0.0005016936659633682
13,8.243221488967126e-5,8.243221488967223e-5,6.88764786354148e-5,8.388995174144456e-5,8.38899517414438e-5,3.926667204930858e-5,3.926667204930807e-5,-0.0005740167714903427,0.00016321504589753705,0.00016321504589753819,0.00011288107484175761,-0.00045152429936703146
14,7.418899340070415e-5,7.418899340070505e-5,6.198883077187338e-5,7.550095656730016e-5,7.550095656729944e-5,3.5340004844377724e-5,3.534000484437727e-5,-0.0005166150943413084,0.00014689354130778334,0.0001468935413077844,0.00010159296735758184,-0.0004063718694303284
15,6.677009406063373e-5,6.677009406063459e-5,5.578994769468607e-5,6.795086091057022e-5,6.795086091056952e-5,3.180600435993996e-5,3.1806004359939554e-5,-0.0004649535849071774,0.00013220418717700504,0.00013220418717700596,9.143367062182365e-5,-0.0003657346824872956
16,6.0093084654570336e-5,6.009308465457115e-5,5.021095292521751e-5,6.115577481951323e-5,6.115577481951258e-5,2.862540392394597e-5,2.862540392394561e-5,-0.0004184582264164596,0.00011898376845930449,0.00011898376845930541,8.229030355964129e-5,-0.0003291612142385661
17,5.408377618911329e-5,5.408377618911407e-5,4.518985763269578e-5,5.504019733756196e-5,5.504019733756132e-5,2.5762863531551375e-5,2.5762863531551056e-5,-0.00037661240377481357,0.00010708539161337405,0.00010708539161337492,7.406127320367716e-5,-0.0002962450928147095
18,4.8675398570201966e-5,4.8675398570202705e-5,4.0670871869426246e-5,4.95361776038058e-5,4.95361776038052e-5,2.3186577178396245e-5,2.3186577178395957e-5,-0.0003389511633973322,9.637685245203664e-5,9.637685245203743e-5,6.665514588330945e-5,-0.0002666205835332386
19,4.380785871318177e-5,4.380785871318246e-5,3.6603784682483644e-5,4.4582559843425255e-5,4.4582559843424685e-5,2.086791946055662e-5,2.0867919460556366e-5,-0.0003050560470575989,8.673916720683297e-5,8.673916720683372e-5,5.99896312949785e-5,-0.0002399585251799148
20,3.942707284186359e-5,3.9427072841864234e-5,3.294340621423531e-5,4.012430385908276e-5,4.012430385908223e-5,1.8781127514500964e-5,1.878112751450073e-5,-0.00027455044235183906,7.806525048614968e-5,7.806525048615037e-5,5.3990668165480657e-5,-0.00021596267266192336
