Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,2.6577470329551208e-5,2.6577470329551543e-5,8.757719189631293e-5,0.0030787736701139547,0.0009466733384722884,2.0265232462187334e-5,2.026523246218712e-5,0.00012620774547777945,-0.0009356041625821875,0.0003436560364028114,0.00020207209964825024,-0.0008082883985930013
2,2.3919723296595695e-5,2.3919723296596105e-5,7.881947270668149e-5,0.0027708963031025605,0.0008520060046250595,1.8238709215968817e-5,1.823870921596871e-5,0.00011358697093000139,-0.0008420437463239686,0.00030929043276252985,0.00018186488968342522,-0.0007274595587337014
3,2.1527750966935856e-5,2.1527750966936608e-5,7.093752543601318e-5,0.0024938066727923053,0.0007668054041625535,1.6414838294371943e-5,1.6414838294371913e-5,0.00010222827383700121,-0.0007578393716915717,0.0002783613894862767,0.0001636784007150827,-0.0006547136028603313
4,1.937497587024202e-5,1.9374975870243048e-5,6.384377289241174e-5,0.0022444260055130756,0.0006901248637462981,1.4773354464934749e-5,1.4773354464934785e-5,9.200544645330102e-5,-0.0006820554345224143,0.00025052525053764876,0.00014731056064357445,-0.0005892422425742982
5,1.74374782832176e-5,1.7437478283218836e-5,5.745939560317042e-5,0.002019983404961769,0.0006211123773716684,1.3296019018441277e-5,1.3296019018441369e-5,8.280490180797086e-5,-0.0006138498910701728,0.00022547272548388377,0.000132579504579217,-0.0005303180183168685
6,1.5693730454895636e-5,1.569373045489704e-5,5.171345604285326e-5,0.0018179850644655924,0.0005590011396345015,1.1966417116597152e-5,1.1966417116597286e-5,7.452441162717373e-5,-0.0005524649019631555,0.00020292545293549528,0.00011932155412129531,-0.00047728621648518183
7,1.4124357409405893e-5,1.4124357409407407e-5,4.6542110438567826e-5,0.0016361865580190337,0.0005031010256710513,1.0769775404937441e-5,1.0769775404937607e-5,6.707197046445631e-5,-0.0004972184117668399,0.00018263290764194563,0.00010738939870916578,-0.0004295575948366637
8,1.2711921668465143e-5,1.2711921668466735e-5,4.188789939471095e-5,0.001472567902217131,0.00045279092310394615,9.692797864443698e-6,9.69279786444389e-6,6.036477341801065e-5,-0.0004474965705901559,0.00016436961687775096,9.66504588382492e-5,-0.00038660183535299737
9,1.1440729501618483e-5,1.1440729501620123e-5,3.769910945523977e-5,0.0013253111119954182,0.00040751183079355157,8.723518077999334e-6,8.723518077999544e-6,5.4328296076209555e-5,-0.00040274691353114027,0.00014793265518997577,8.698541295442429e-5,-0.00034794165181769774
10,1.0296656551456503e-5,1.0296656551458163e-5,3.3929198509715705e-5,0.0011927800007958769,0.0003667606477141964,7.851166270199401e-6,7.851166270199623e-6,4.889546646858857e-5,-0.00036247222217802616,0.0001331393896709781,7.828687165898185e-5,-0.00031314748663592795
11,9.266990896310734e-6,9.266990896312398e-6,3.053627865874406e-5,0.0010735020007162895,0.00033008458294277675,7.066049643179463e-6,7.066049643179693e-6,4.4005919821729685e-5,-0.0003262249999602235,0.0001198254507038802,7.045818449308367e-5,-0.00028183273797233524
12,8.340291806679553e-6,8.340291806681203e-6,2.748265079286961e-5,0.0009661518006446611,0.00029707612464849906,6.359444678861519e-6,6.359444678861754e-6,3.9605327839556695e-5,-0.0002936024999642011,0.0001078429056334921,6.341236604377531e-5,-0.0002536494641751018
13,7.506262626011504e-6,7.506262626013122e-6,2.4734385713582585e-5,0.0008695366205801953,0.00026736851218364915,5.723500210975369e-6,5.723500210975604e-6,3.5644795055601e-5,-0.00026424224996778094,9.705861507014283e-5,5.707112943939778e-5,-0.00022828451775759161
14,6.755636363410268e-6,6.755636363411844e-6,2.226094714222428e-5,0.0007825829585221761,0.0002406316609652842,5.151150189877832e-6,5.151150189878067e-6,3.2080315550040874e-5,-0.00023781802497100277,8.735275356312848e-5,5.1364016495458e-5,-0.0002054560659818325
15,6.080072727069165e-6,6.080072727070693e-6,2.0034852428001807e-5,0.0007043246626699588,0.00021656849486875583,4.636035170890049e-6,4.636035170890282e-6,2.887228399503677e-5,-0.00021403622247390244,7.861747820681557e-5,4.62276148459122e-5,-0.0001849104593836493
16,5.472065454362177e-6,5.472065454363653e-6,1.8031367185201583e-5,0.0006338921964029632,0.00019491164538188024,4.172431653801045e-6,4.1724316538012724e-6,2.5985055595533076e-5,-0.0001926326002265122,7.075573038613398e-5,4.160485336132098e-5,-0.00016641941344528436
17,4.9248589089258965e-6,4.924858908927314e-6,1.6228230466681388e-5,0.000570502976762667,0.0001754204808436922,3.755188488420942e-6,3.755188488421163e-6,2.338655003597975e-5,-0.00017336934020386092,6.368015734752052e-5,3.744436802518888e-5,-0.00014977747210075592
18,4.4323730180332506e-6,4.432373018034607e-6,1.4605407420013215e-5,0.0005134526790864006,0.000157878432759323,3.379669639578849e-6,3.379669639579062e-6,2.1047895032381767e-5,-0.0001560324061834748,5.731214161276843e-5,3.369993122267e-5,-0.00013479972489068037
19,3.989135716229874e-6,3.989135716231166e-6,1.3144866678011862e-5,0.00046210741117776063,0.0001420905894833907,3.041702675620965e-6,3.04170267562117e-6,1.8943105529143575e-5,-0.00014042916556512736,5.158092745149154e-5,3.0329938100402993e-5,-0.00012131975240161238
20,3.590222144606841e-6,3.59022214460807e-6,1.183038001021065e-5,0.00041589667005998473,0.00012788153053505162,2.737532408058869e-6,2.7375324080590656e-6,1.704879497622921e-5,-0.00012638624900861457,4.642283470634235e-5,2.7296944290362694e-5,-0.00010918777716145116
