Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,1.6199879285624358e-20,6.97293246780444e-21,7.713914793844563e-20,4.289510524191314e-20,-4.056729495890717e-20,0.00022222222222222218,-0.00011111111111111112,-0.0005555555555555556,8.173996598459634e-20,1.6345756127075245e-20,3.3616272709779758e-21,5.411783411224268e-20
2,-9.256432455806212e-21,2.947126180104249e-20,1.8753035808632845e-20,3.095174074940491e-20,-4.553010638557658e-20,0.00019999999999999993,-0.00010000000000000005,-0.0005000000000000001,7.018681704826384e-20,3.1336022445093e-20,-2.611264962859631e-22,6.297263384831601e-20
3,-1.3015936115355232e-20,2.852240827162037e-20,4.28507103890127e-20,5.680119552629999e-20,-4.664277415974708e-20,0.00017999999999999996,-9.000000000000005e-5,-0.0004500000000000001,5.449218720953477e-20,6.4069768462647e-20,5.711366441893898e-22,5.570550559950756e-20
4,-1.5930974718436385e-20,2.746861283007226e-20,6.194131969523024e-20,7.7171241940322e-20,-4.707760731522771e-20,0.00016199999999999995,-8.100000000000004e-5,-0.00040500000000000003,4.1234615168068885e-20,8.994340505223928e-20,1.2395584215325315e-21,4.926207666197765e-20
5,-1.813284623974776e-20,2.6340352394117564e-20,7.678530003631416e-20,9.289926711627663e-20,-4.695904609801474e-20,0.00014579999999999997,-7.290000000000006e-5,-0.00036449999999999997,3.008363566280083e-20,1.1000161663928663e-19,1.7685844769651515e-21,4.355027845595864e-20
6,-1.9735033709612505e-20,2.5163057917053088e-20,8.804107111222898e-20,1.0470997483763708e-19,-4.6393421051092096e-20,0.00013121999999999998,-6.561000000000006e-5,-0.0003280499999999999,2.075050590690571e-20,1.2514875185840212e-19,2.179409737095922e-21,3.848821912452365e-20
7,-2.0835455223106826e-20,2.3957818811460338e-20,9.627783497259768e-20,1.1322954834356272e-19,-4.547133055257383e-20,0.00011809799999999999,-5.904900000000007e-5,-0.00029524499999999986,1.2983165745561612e-20,1.3616644386730166e-19,2.4903841004308873e-21,3.4003068874816074e-20
8,-2.151844209680617e-20,2.274199694781561e-20,1.0198683534977037e-19,1.1899810739992686e-19,-4.42697239432483e-20,0.0001062882,-5.314410000000007e-5,-0.00026572049999999984,6.5617885574172706e-21,1.4372910995583728e-19,2.7173694937279003e-21,3.003006648380477e-20
9,-2.185647704353457e-20,2.1529761268785225e-20,1.0559125730178253e-19,1.2248065916158254e-19,-4.2853725350262144e-20,9.565938e-5,-4.7829690000000074e-5,-0.00023914844999999986,1.2948551494461961e-21,1.4841757838799272e-19,2.8740539673612016e-21,2.6511633882247572e-20
10,-2.1911720579949238e-20,2.033255275608276e-20,1.0745492650989455e-19,1.2407671949690783e-19,-4.127822923644073e-20,8.6093442e-5,-4.3046721000000074e-5,-0.00021523360499999984,-2.9843094625048483e-21,1.5073106203415874e-19,2.9722278513305636e-21,2.3396587136163764e-20
11,-2.1737350638645618e-20,1.9159488333232938e-20,1.0788994930336634e-19,1.2412876117355223e-19,-3.958929509188099e-20,7.74840978e-5,-3.874204890000007e-5,-0.00019371024449999985,-6.420589703560139e-21,1.510976731672116e-19,3.0220264188324423e-21,2.063943340047424e-20
12,-2.137873747980324e-20,1.8017711267392258e-20,1.0716341827304482e-19,1.229296273198987e-19,-3.782536548386878e-20,6.973568801999999e-5,-3.486784401000007e-5,-0.00017433922004999984,-9.139770801779324e-21,1.4988365145331232e-19,3.0321429943206386e-21,1.819974454056098e-20
