Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,4.307723708571923e-20,1.4293721640984863e-19,1.3392751068046363e-19,-4.0947263811788293e-20,-3.769881342643985e-19,5.908312337365392e-20,2.5169946766683942e-20,-1.447039870698453e-21,1.6592031342569187e-19,3.701810445703306e-20,-0.0004999999999999998,0.0020000000000000005
2,-1.011039254065648e-19,9.64811377813086e-20,-6.826585885782057e-20,-1.5938804189639755e-20,-5.306987611486001e-19,2.428518850729977e-20,-9.380716917953251e-20,-8.043161582037424e-20,1.355328360994547e-19,9.322051852367473e-20,-0.00044999999999999993,0.0018000000000000008
3,-8.46708107722097e-20,9.289234247287615e-20,-6.046856511872062e-20,-1.1281423492086662e-20,-6.136840144886554e-19,2.4112962182735507e-20,-8.275705273177739e-20,-8.265795500931731e-20,1.2471053144142892e-19,1.1967587750109983e-19,-0.000405,0.001620000000000001
4,-7.051327981066e-20,8.905649484831709e-20,-5.3548071538862493e-20,-7.396130892147791e-21,-6.747652295492137e-19,2.373232923801109e-20,-7.297888788177798e-20,-8.363471020226803e-20,1.146973593540137e-19,1.3990795949780316e-19,-0.00036449999999999997,0.001458000000000001
5,-5.834054693369814e-20,8.505889332394106e-20,-4.740699102378872e-20,-4.175082577275823e-21,-7.174933614527738e-19,2.3186693260404204e-20,-6.432878547446068e-20,-8.358953480653542e-20,1.054397163696672e-19,1.548968663201549e-19,-0.00032805,0.0013122000000000012
6,-4.7897227834022055e-20,8.097024715595705e-20,-4.195864589634109e-20,-1.524282616456767e-21,-7.449282146801297e-19,2.2512861185938584e-20,-5.667891466978909e-20,-8.271704738792665e-20,9.68866283886499e-20,1.6548891218305821e-19,-0.00029524499999999997,0.0011809800000000012
7,-3.895916708494421e-20,7.684874128833046e-20,-3.712589988414513e-20,6.381081779712372e-22,-7.597011636474867e-19,2.174192859376205e-20,-4.99157301713072e-20,-8.11831621049743e-20,8.898976084013937e-20,1.7241358021017935e-19,-0.0002657205,0.0010628820000000013
8,-3.132974620734172e-20,7.27418341226696e-20,-3.284011661542493e-20,2.38326363967821e-21,-7.64070240674571e-19,2.090005390816143e-20,-4.393839342582378e-20,-7.912888340473313e-20,8.170340051744445e-20,1.7629842551004568e-19,-0.00023914845,0.0009565938000000013
9,-2.4836617834410315e-20,6.86878209772576e-20,-2.904023100160733e-20,3.773006927264079e-21,-7.599684906597636e-19,2.0009134873743318e-20,-3.8657366727723994e-20,-7.667362882349047e-20,7.498441465088711e-20,1.7768216594783696e-19,-0.00021523360500000003,0.0008609344200000013
10,-1.9328817673991755e-20,6.471719211970128e-20,-2.5671921344398987e-20,4.860968920935994e-21,-7.49046388241172e-19,1.908739910712721e-20,-3.399316143498593e-20,-7.391813632444901e-20,6.87921919524668e-20,1.7702617404296951e-19,-0.0001937102445,0.0007748409780000012
11,-1.4674211367312813e-20,6.085381082388365e-20,-2.268687130861625e-20,5.693608446600887e-21,-7.32709021399701e-19,1.8149919145096895e-20,-2.9875223533518244e-20,-7.094700603698094e-20,6.308856964722167e-20,1.7472455885959725e-19,-0.00017433922005,0.0006973568802000012
