Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,5.888622254749351e-19,0.001,3.0390075922217355e-19,-1.8315766862275496e-21,1.3701460242172609e-19,-1.1372188902433925e-19,-1.228667540674928e-19,-8.062303595208597e-20,-3.72177501904493e-21,-5.436517302539078e-19,1.4795013248853152e-21,6.78030977284302e-21
2,5.468257110574499e-19,0.0009000000000000011,2.515235783325675e-20,1.2569319943720132e-19,-1.2479306672981894e-19,-1.9269191654100848e-19,1.228956305193652e-19,-2.629830512641612e-19,6.093404036291271e-19,-6.511082217726201e-19,1.3036264301208063e-21,8.696405727911514e-21
3,5.136735090513932e-19,0.000810000000000001,9.588325696347613e-20,1.0429546119750088e-19,-1.0779745183191911e-19,-1.81980931031436e-19,1.4553551933985692e-19,-2.258979945925602e-19,5.3556830470047e-19,-7.306654293067952e-19,2.1637410129465618e-21,1.2453685574854487e-20
4,4.816834903359735e-19,0.000729000000000001,1.5221645268931907e-19,8.592033861136852e-20,-9.295302924630102e-20,-1.7148522345836789e-19,1.624184740910567e-19,-1.9360011874263768e-19,4.70457221521253e-19,-7.878001131164091e-19,2.8387964149059587e-21,1.5372545395129742e-20
5,4.509547402731238e-19,0.0006561000000000009,1.9632417670035865e-19,7.017728593048764e-20,-7.999951665948736e-20,-1.612688480895991e-19,1.7446948269861796e-19,-1.6550283811677412e-19,4.1301267193087473e-19,-8.262012058710324e-19,3.3572033263440105e-21,1.75830963956014e-20
6,4.2155490531948434e-19,0.0005904900000000009,2.300881913822971e-19,5.672364039966919e-20,-6.870717629757341e-20,-1.5138089556000037e-19,1.8248610484375637e-19,-1.4108901242865688e-19,3.6235246004335956e-19,-8.490440789435668e-19,3.7435408913453936e-21,1.9197811742027432e-20
7,3.935254899538415e-19,0.0005314410000000009,2.551361613608443e-19,4.525895111570957e-20,-5.887330884144736e-20,-1.418578450554254e-19,1.8715470773288094e-19,-1.1990292349699535e-19,3.176941638140386e-19,-8.590563653428841e-19,4.0190389100830596e-21,2.0313753055212242e-20
8,3.6688640860813245e-19,0.0004782969000000009,2.728736554298591e-19,3.551996328454516e-20,-5.03191431135708e-20,-1.327255956961654e-19,1.8906472899574304e-19,-1.0154316222737957e-19,2.7834400223014824e-19,-8.585757536729024e-19,4.202001916159738e-21,2.1014527988339812e-20
9,3.4163988863202673e-19,0.00043046721000000087,2.8451228907146245e-19,2.7276183508456536e-20,-4.2887077442855094e-20,-1.2400121775820317e-19,1.8872119892870387e-19,-8.565632397671698e-20,2.436869313248956e-19,-8.496007006834881e-19,4.308181931920253e-21,2.137201040428975e-20
10,3.1777380856506087e-19,0.0003874204890000009,2.910944594304466e-19,2.0325960054740177e-20,-3.643823347514676e-20,-1.1569445945087172e-19,1.8655572758511513e-19,-7.193142175391309e-20,2.1317783457839196e-19,-8.338349007552276e-19,4.351105925367066e-21,2.1447851057166298e-20
11,2.952645456251679e-19,0.0003486784401000008,2.9351507282691926e-19,1.4493019456682514e-20,-3.0850287526551554e-20,-1.0780904062742452e-19,1.8293613852095713e-19,-6.00949367359028e-20,1.8633368786794005e-19,-8.127262538057845e-19,4.3423633008053145e-21,2.1294803475424638e-20
12,2.7407939718760294e-19,0.0003138105960900008,2.9254061894979295e-19,9.62340737768898e-21,-2.6015548432923927e-20,-1.0034376097415804e-19,1.7817490999377958e-19,-4.9906434503955454e-20,1.6272659215379463e-19,-7.875009872386777e-19,4.291858141902243e-21,2.0957886899459645e-20
13,2.541786329812993e-19,0.00028242953648100074,2.8882590511982273e-19,5.5827875199273255e-21,-2.1839254282756287e-20,-9.329344684527062e-20,1.7253656578682792e-19,-4.115468335103854e-20,1.419775787037989e-19,-7.591935114469343e-19,4.208030381771734e-21,2.0475405603933403e-20
14,2.355172276443803e-19,0.0002541865828329007,2.8292872786634856e-19,2.2540575599411043e-21,-1.823806347829295e-20,-8.66497579324191e-20,1.6624414132132883e-19,-3.3654218083665436e-20,1.2375110202226435e-19,-7.286725209411529e-19,4.098049592248303e-21,1.9879841698517814e-20
15,2.180463170450322e-19,0.00022876792454961064,2.7532272701237107e-19,-4.647542832471498e-22,-1.5138718291894714e-20,-8.040187233368518e-20,1.5948483609106128e-19,-2.724229903625658e-20,1.0775014488999872e-19,-6.966637934220584e-19,3.967984656811841e-21,1.9198636518146004e-20
16,2.0171441628910994e-19,0.00020589113209464963,2.6640863905052558e-19,-2.662344333397182e-21,-1.2476861507993186e-20,-7.453706627537386e-20,1.5241495049363398e-19,-2.1776221617492844e-20,9.371186816396355e-20,-6.6377008619737135e-19,3.822952212540189e-21,1.8454873956863384e-20
17,1.8646843251392174e-19,0.0001853020188851847,2.5652414141092543e-19,-4.415768830684714e-21,-1.019598889795302e-20,-6.904120270538794e-20,1.4516419365478148e-19,-1.7130936692119278e-20,8.140374533423543e-20,-6.304884824834011e-19,3.6672464105547484e-21,1.7667877542655826e-20
18,1.722545013308801e-19,0.00016677181699666625,2.459524569087401e-19,-5.7918849851807865e-21,-8.246522194840947e-21,-6.389914118664547e-20,1.3783943867876317e-19,-1.3196946535645508e-20,7.06201283888133e-20,-5.972254986502511e-19,3.504452246840994e-21,1.6853731671721147e-20
19,1.590186720593076e-19,0.00015009463529699966,2.349298678928826e-19,-6.848620220470801e-21,-6.584988943371758e-21,-5.909507994459761e-20,1.3052799276140066e-19,-9.878445043545289e-21,6.117919737913323e-20,-5.643102267588972e-19,3.3375444517644435e-21,1.6025736199546842e-20
20,1.4670746362874078e-19,0.00013508517176729972,2.2365227211110915e-19,-7.636089558851002e-21,-5.173297120248002e-21,-5.461283953909288e-20,1.2330044164072307e-19,-7.091674384508661e-21,5.292025128750104e-20,-5.320057542593116e-19,3.168973693234793e-21,1.519480250509019e-20
