Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,2.921610197635745e-19,-1.221001712435793e-19,1.8693014420081524e-20,6.570297929406995e-19,8.969998102911168e-19,-1.188519928978707e-19,1.1936326763943267e-19,7.921310026920793e-20,-1.6390669238026917e-19,-1.454594286958568e-19,-2.3031076210177324e-19,9.697295246390452e-19
2,2.1689421274432567e-19,6.86896719199284e-22,3.847030996583975e-20,5.312100806405517e-19,8.378463092881349e-19,-2.5771259499421994e-20,2.5876372329857245e-20,5.61397664198021e-20,-9.058148771837802e-20,-1.8618806873069698e-19,-1.8618806873069667e-19,8.068149644996859e-19
3,1.9520479146989311e-19,6.182070472794646e-22,3.462327896925577e-20,4.780890725764967e-19,7.540616783593214e-19,-2.319413354947978e-20,2.328873509687156e-20,5.052578977782187e-20,-8.152333894654021e-20,-1.6756926185762732e-19,-1.67569261857627e-19,7.261334680497174e-19
4,1.756843123229038e-19,5.563863425516165e-22,3.1160951072330193e-20,4.302801653188472e-19,6.78655510523389e-19,-2.0874720194531796e-20,2.095986158718445e-20,4.547321080003966e-20,-7.337100505188618e-20,-1.5081233567186465e-19,-1.5081233567186431e-19,6.535201212447457e-19
5,1.5811588109061341e-19,5.007477082965434e-22,2.804485596509717e-20,3.8725214878696264e-19,6.1078995947105e-19,-1.8787248175078608e-20,1.8863875428466043e-20,4.092588972003569e-20,-6.603390454669755e-20,-1.3573110210467821e-19,-1.3573110210467788e-19,5.881681091202712e-19
6,1.423042929815521e-19,4.506729374669688e-22,2.5240370368587445e-20,3.4852693390826647e-19,5.497109635239449e-19,-1.6908523357570744e-20,1.6977487885619466e-20,3.683330074803211e-20,-5.943051409202779e-20,-1.2215799189421045e-19,-1.221579918942101e-19,5.293512982082442e-19
7,1.280738636833969e-19,4.0560564372034343e-22,2.2716333331728697e-20,3.136742405174399e-19,4.947398671715503e-19,-1.5217671021813663e-20,1.527973909705755e-20,3.314997067322889e-20,-5.3487462682824986e-20,-1.0994219270478947e-19,-1.099421927047891e-19,4.764161683874198e-19
8,1.152664773150572e-19,3.6504507934837367e-22,2.0444699998555825e-20,2.8230681646569605e-19,4.452658804543952e-19,-1.369590391963229e-20,1.3751765187351825e-20,2.9834973605905993e-20,-4.813871641454249e-20,-9.894797343431055e-20,-9.894797343431019e-20,4.287745515486779e-19
9,1.0373982958355148e-19,3.285405714135943e-22,1.8400229998700242e-20,2.5407613481912653e-19,4.0073929240895568e-19,-1.2326313527669055e-20,1.2376588668616662e-20,2.6851476245315386e-20,-4.332484477308822e-20,-8.905317609087953e-20,-8.905317609087917e-20,3.8589709639381015e-19
10,9.336584662519633e-20,2.9568651427228716e-22,1.6560206998830212e-20,2.28668521337214e-19,3.6066536316806e-19,-1.1093682174902144e-20,1.1138929801755019e-20,2.416632862078384e-20,-3.8992360295779396e-20,-8.01478584817916e-20,-8.014785848179126e-20,3.4730738675442917e-19
