Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,-4.981408206974576e-19,3.4328503545717526e-19,-3.7562963051081394e-19,0.010000000000000002,1.5901631863120717e-20,-1.161882354500061e-20,7.599709883100679e-20,1.1981165541664375e-19,2.5921090753050273e-19,-5.369965606391267e-19,5.386578957480186e-21,-1.565245529936017e-20
2,-1.0332381375265745e-18,2.1700345934204583e-19,-6.991263085086259e-19,0.009000000000000005,1.5664764562031772e-19,-1.8223791072185296e-20,1.1871736458731368e-19,3.2329698524935315e-20,4.143848472087913e-19,-8.482780656418939e-19,9.462737565278073e-21,-4.748180227043421e-20
3,-1.4563345827828935e-18,1.1254534809537042e-19,-9.541673546017674e-19,0.008100000000000007,2.690854403074442e-19,-2.339157685848306e-20,1.5213360620404916e-19,-3.88539835425979e-20,5.359318898761171e-19,-1.0919333040377168e-18,1.2669798661941578e-20,-7.278875529429984e-20
4,-1.784479357612683e-18,2.6808824504609577e-20,-1.1512089283911946e-18,0.007290000000000009,3.574691996009423e-19,-2.7343567576799434e-20,1.7767942585156441e-19,-9.612422618187381e-20,6.2902567553789e-19,-1.2783747140979563e-18,1.5140820163619598e-20,-9.2559499690688e-20
5,-2.032431831648686e-18,-4.290584784895291e-20,-1.2993005138767188e-18,0.00656100000000001,4.254853526326664e-19,-3.027124438286772e-20,1.9659474550753618e-19,-1.4155188045786858e-19,6.981413851685473e-19,-1.4166085091057709e-18,1.6990939378342598e-20,-1.0764820765485551e-19
6,-2.2129490173013616e-18,-9.89456739768491e-20,-1.4062616929812262e-18,0.0059049000000000115,4.763235830620363e-19,-3.2339950151954375e-20,2.0995020697379796e-19,-1.7693276161684566e-19,7.471436961176941e-19,-1.514411797971043e-18,1.83196265484848e-20,-1.1879357902928263e-19
7,-2.3370384475070153e-18,-1.4334847640067655e-19,-1.478837631126065e-18,0.0053144100000000125,5.127393138792056e-19,-3.369220232339503e-20,2.1866862869173205e-19,-2.0382194773944864e-19,7.793641310253261e-19,-1.5784883439722032e-18,1.921266689081513e-20,-1.266333940522758e-19
8,-2.4141805014985246e-18,-1.7788126159997013e-19,-1.522835764712124e-18,0.004782969000000013,5.371086627023207e-19,-3.445060455902803e-20,2.2354386399634136e-19,-2.235639690213626e-19,7.97669041990255e-19,-1.6146054627934211e-18,1.974390289919455e-20,-1.3171731028037745e-19
9,-2.452523760216662e-18,-2.0407400499539829e-19,-1.5432458952697106e-18,0.004304672100000013,5.514767486220208e-19,-3.472040432430048e-20,2.252573659531115e-19,-2.373193665694992e-19,8.045193294519449e-19,-1.6277142744106736e-18,1.997676503698993e-20,-1.3451810932233603e-19
10,-2.459056562176186e-18,-2.2324938709574116e-19,-1.5443456420686587e-18,0.0038742048900000134,5.576001307307577e-19,-3.4591738090928176e-20,2.2439272887856426e-19,-2.4608804491779495e-19,8.020228690013943e-19,-1.6220552690765413e-18,1.9965615718234288e-20,-1.3544157545309912e-19
