Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,5.523062897771294e-19,-3.1285349563125206e-19,-4.2628471820676637e-19,0.0,-3.1606458472119805e-19,1.6917388247934073e-19,1.1041911374258114e-19,-1.5866815324689175e-19,2.914571466258503e-19,0.01,2.4692545681343597e-21,9.877018272537439e-21
2,-3.6302399485209407e-19,8.215720441309817e-19,-3.509643068029679e-19,2.2756650099926267e-19,-9.924427960245618e-19,1.8286512995344433e-19,2.099949225448532e-19,-4.351135043617035e-19,1.2162680350501124e-18,0.009000000000000001,9.333782267547879e-21,-1.0074558637988187e-20
3,-1.100811285453244e-18,1.7322410108970812e-18,-2.864451304978614e-19,4.0961970179867277e-19,-1.5303847192200406e-18,1.9212638910793378e-19,2.88551378449245e-19,-6.54683103721084e-19,1.9532021743232635e-18,0.008100000000000001,1.480071188139735e-20,-2.6134590349134048e-20
4,-1.6874108779856427e-18,2.452560463868651e-18,-2.313201463857464e-19,5.529865974282082e-19,-1.950813829816178e-18,1.9770674513199084e-19,3.4929659394731e-19,-8.259876481649713e-19,2.5305868053912834e-18,0.007290000000000001,1.9080917749801447e-20,-3.888187013167085e-20
5,-2.145682439157029e-18,3.011493616136936e-18,-1.843557077910757e-19,6.635839169138499e-19,-2.2718532711008867e-18,2.0024976606015713e-19,3.950072525612695e-19,-9.564844526828702e-19,2.9729624885024668e-18,0.006561000000000002,2.235707532571075e-20,-4.8818348054208936e-20
6,-2.4954255793142815e-18,3.4341145333128772e-18,-1.4447095545148164e-19,7.465319065280812e-19,-2.509176685830492e-18,2.0030711535137023e-19,4.28082813512964e-19,-1.0526220198155395e-18,3.3015571669375006e-18,0.005904900000000002,2.478719220894018e-20,-5.637871169092269e-20
7,-2.753763267048513e-18,3.742096330892261e-18,-1.1071959650189556e-19,8.062544590503277e-19,-2.6763168849031678e-18,1.9835049712373912e-19,4.505931897487069e-19,-1.1199672289948462e-18,3.534703284800503e-18,0.005314410000000002,2.6507714962266615e-20,-6.19388191197516e-20
8,-2.935479161442756e-18,3.95414062362264e-18,-8.227379978771182e-20,8.465671820028442e-19,-2.7849372773030033e-18,1.9478213138812053e-19,4.643206626021716e-19,-1.1633171761401362e-18,3.68820460742153e-18,0.004782969000000002,2.763626124283836e-20,-6.582311794590549e-20
9,-3.053314244287665e-18,4.0863550944980204e-18,-5.840996645134583e-20,8.70754815774354e-19,-2.84507042237384e-18,1.8994393382838823e-19,4.707967089874562e-19,-1.1867974615664197e-18,3.775658632670347e-18,0.004304672100000002,2.827402111767309e-20,-6.831116881563107e-20
10,-3.1182275189491644e-18,4.152585264962098e-18,-3.8496161784375876e-20,8.816392509715335e-19,-2.865327565657479e-18,1.8412555446672117e-19,4.713343394696623e-19,-1.1939485181460452e-18,3.808739806795185e-18,0.003874204890000002,2.8507866405112495e-20,-6.964337833195247e-20
