Period,eps_G_1,eps_G_2,eps_G_3,eps_G_4,eps_G_5,eps_a_1,eps_a_2,eps_a_3,eps_a_4,eps_a_5,eps_a_basket_1,eps_a_basket_2
1,6.083624377240862e-20,1.707286251352982e-21,-1.3411017726066958e-20,-3.6131275500099995e-21,-6.6093999634760176e-21,2.492424154218417e-21,-8.79672879933508e-22,5.2708433740045e-22,6.795945376376656e-21,-7.83463263810211e-21,0.009999999999999998,-5.29377362666829e-22
2,1.094239601103285e-19,5.8873060281554325e-21,-2.929888912079353e-20,-3.383306651160635e-21,-1.148912155575525e-20,3.284275034228568e-21,-4.073357561239972e-21,9.4877756906767e-22,1.0460989779178467e-20,-1.3197146881078771e-20,0.009,-6.987781187202189e-23
3,1.4768577074294031e-19,9.214248987083866e-21,-4.187507605931411e-20,-3.1633186565810356e-21,-1.5326804829943877e-20,3.8928314966945056e-21,-6.619508577485808e-21,1.2808613110274409e-21,1.3325065847656147e-20,-1.7408811949079077e-20,0.0081,3.0301560239049203e-22
4,1.7720097964792646e-19,1.181693029394506e-20,-5.1643036718922635e-20,-2.9534951944057424e-21,-1.8282060233737226e-20,4.346833916324971e-21,-8.615695814870077e-21,1.5370405289045806e-21,1.55117168046465e-20,-2.064617253466853e-20,0.00729,6.020291119192233e-22
5,1.9933628906448598e-19,1.380693284956318e-20,-5.90386544860163e-20,-2.754003238099691e-21,-2.0492996508472467e-20,4.671107537062398e-21,-1.0146450519002635e-20,1.7291752900960176e-21,1.712778691176222e-20,-2.3061972883649303e-20,0.006561,8.382097635183034e-22
6,2.1527252680125431e-19,1.5280765591118228e-20,-6.4438718332502e-20,-2.5648747211107863e-21,-2.207892492592329e-20,4.8870580944890914e-21,-1.1284897324159981e-20,1.8675126937601214e-21,1.8265525829408324e-20,-2.4788151437487233e-20,0.0059049,1.0211339936783753e-21
7,2.2602815410002414e-19,1.6321762455866637e-20,-6.81683828648304e-20,-2.3860318751386606e-21,-2.3142737694799224e-20,5.0131074650598225e-21,-1.2094190263095831e-20,1.9608908637904437e-21,1.9004439094407582e-20,-2.5938474551721083e-20,0.00531441,1.1590912801712496e-21
8,2.324799306710275e-19,1.7001752291754185e-20,-7.050772730736809e-20,-2.2173088511498474e-21,-2.3772998660640737e-20,5.065076380571516e-21,-1.2628775641002911e-20,2.0169182728771002e-21,1.9412914448112904e-20,-2.661085152873329e-20,0.004782969000000001,1.2592457694287653e-21
9,2.353810703868299e-19,1.738252653590556e-20,-7.169751903274995e-20,-2.058470113207406e-21,-2.4045780056365958e-20,5.056520438330274e-21,-1.2935502040697618e-20,2.042131291508521e-21,1.9549650340133082e-20,-2.6889368364825843e-20,0.0043046721,1.3277784480330651e-21
10,2.3537718285276155e-19,1.751712840830912e-20,-7.194427513998174e-20,-1.9092260343419503e-21,-2.402627518633973e-20,4.999024920731565e-21,-1.3054595404043353e-20,2.0421325236848866e-21,1.9464909909268093e-20,-2.6846073318412553e-20,0.0038742048900000004,1.3700121332222174e-21
11,2.3302026212163856e-19,1.7450984640872913e-20,-7.142470483543968e-20,-1.769246070117508e-21,-2.377021348975509e-20,4.9024633022692956e-21,-1.3020515074312965e-20,2.0217121965108935e-21,1.920162106117477e-20,-2.6542543597633663e-20,0.0034867844010000003,1.3905212968932085e-21
12,2.2878095370821253e-19,1.722289834284086e-20,-7.028960584040621e-20,-1.6381698383945322e-21,-2.3325101380623978e-20,4.775223758292165e-21,-1.2862704856488223e-20,1.98495460953485e-21,1.8796340883607428e-20,-2.6031259087826425e-20,0.0031381059609,1.3932285064977794e-21
13,2.230593043562553e-19,1.686591945800649e-20,-6.866727959602503e-20,-1.5156163923149735e-21,-2.273130955842154e-20,4.624407490087767e-21,-1.2606251531485297e-20,1.935331417988906e-21,1.8280100530941805e-20,-2.5356806044004293e-20,0.00282429536481,1.3814890612125039e-21
14,2.1619417533760745e-19,1.6408107366710585e-20,-6.666652254211603e-20,-1.4011919370673785e-21,-2.202302508685335e-20,4.456002237941328e-21,-1.2272461822918075e-20,1.8757833186568027e-21,1.7679144839973232e-20,-2.4556931018068324e-20,0.002541865828329,1.358165219919306e-21
15,2.084714790791266e-19,1.5873198499093798e-20,-6.437924410302858e-20,-1.2944962089461506e-21,-2.122908441401458e-20,4.275033961323299e-21,-1.1879367540749445e-20,1.8087915250112305e-21,1.7015579281888954e-20,-2.3663462936879505e-20,0.0022876792454961,1.3256912562726223e-21
16,2.0013138031896586e-19,1.5281190331333263e-20,-6.188275612633745e-20,-1.1951277070784926e-21,-2.0373701624875033e-20,4.085699317649462e-21,-1.144216749678536e-20,1.7364402569082044e-21,1.6307935387021796e-20,-2.2703119161747767e-20,0.00205891132094649,1.2861304331560823e-21
17,1.91374586520046e-19,1.4648851812133896e-20,-5.924177330395426e-20,-1.1026879434949026e-21,-1.947710454942325e-20,3.891481263097161e-21,-1.0973613786206598e-20,1.6604713271756714e-21,1.557166447830918e-20,-2.1698209512273583e-20,0.001853020188851841,1.241224862100124e-21
18,1.8236783767772042e-19,1.3990169093461073e-20,-5.651015948478434e-20,-1.0167848555572441e-21,-1.8556089872813073e-20,3.695249826278825e-21,-1.0484349142775734e-20,1.5823317808205628e-21,1.481956839746887e-20,-2.0667250601076757e-20,0.001667718169966657,1.1924391009237967e-21
19,1.732486927386595e-19,1.3316734400401475e-20,-5.373245069640885e-20,-9.370355057721668e-22,-1.76245070860307e-20,3.499349864193184e-21,-9.983201290168977e-21,1.5032154304647192e-21,1.4062174888013528e-20,-1.962550137699656e-20,0.0015009463529699913,1.1409982433617335e-21
20,1.6412969841063357e-19,1.2638084955019187e-20,-5.094518207086062e-20,-8.630681773885311e-22,-1.669367995787667e-20,3.305677396261884e-21,-9.477439516655814e-21,1.4240990323718386e-21,1.3308064396474565e-20,-1.8585429491721635e-20,0.0013508517176729921,1.087921166302845e-21
